"","Year","Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_earnings","Director","Actor","PG"
"75",2019,75,"Assassin's Creed","Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.",115,"Action",5.6,36,205128,54.65,"Justin Kurzel","Michael Fassbender","PG-13"
"76",2019,76,"The Neon Demon","An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister.",117,"Horror",6.1,51,101182,1.33,"Nicolas Winding Refn","Elle Fanning","18"
"77",2019,77,"How to Be Single","A group of young adults navigate love and relationships in New York City.",110,"Comedy",6.1,51,92030,46.84,"Christian Ditter","Dakota Johnson","15"
"78",2019,78,"Inferno","When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks and they race across Europe together against the clock to foil a deadly global plot.",121,"Action",6.2,42,184827,34.34,"Ron Howard","Tom Hanks","12A"
"79",2019,79,"The Choice","Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.",111,"Drama",6.5,26,44236,18.71,"Ross Katz","Benjamin Walker","12A"
"80",2019,80,"Independence Day: Resurgence","Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",120,"Action",5.2,32,185535,103.1,"Roland Emmerich","Liam Hemsworth","12A"
"81",2019,81,"Sully","When pilot Chesley ""Sully"" Sullenberger lands his damaged plane on the Hudson River in order to save the flight's passengers and crew, some consider him a hero while others think he was reckless.",96,"Biography",7.4,74,289248,125,"Clint Eastwood","Tom Hanks","12A"
"82",2019,82,"The BFG","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",117,"Adventure",6.3,66,90708,55.48,"Steven Spielberg","Mark Rylance","PG"
"83",2019,83,"Hunt for the Wilderpeople","A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.",101,"Adventure",7.8,81,137126,5.2,"Taika Waititi","Sam Neill","12A"
"84",2019,84,"Warcraft: The Beginning","As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",123,"Action",6.7,32,273219,47.37,"Duncan Jones","Travis Fimmel","12A"
"85",2019,85,"Get a Job","After college, Will is having problems getting a good, lasting job, as are his roomies, his girlfriend, and his just-fired dad.",83,"Comedy",5.2,31,25202,NA,"Dylan Kidd","Miles Teller","15"
